date,lati,longi,flag,name
2015-01-06,37.7923,-122.393,0,view
2014-12-22,37.7923,-122.393,0,view
2015-01-25,37.7923,-122.393,0,view
2015-01-25,37.7923,-122.393,0,view
2015-01-12,37.7923,-122.393,0,view
2015-02-23,37.7923,-122.393,0,view
2015-01-06,37.7923,-122.393,0,view
2014-12-08,37.7923,-122.393,0,view
2015-02-17,37.7923,-122.393,0,view
2015-02-03,37.7923,-122.393,0,view
2015-02-08,37.7923,-122.393,0,view
2015-02-06,37.7923,-122.393,0,view
2015-01-28,37.7923,-122.393,0,view
2015-01-09,37.7923,-122.393,0,view
2015-02-20,37.7923,-122.393,0,view
2014-12-16,37.7923,-122.393,0,view
2014-12-31,37.7877,-122.42,0,view
2015-02-18,37.7877,-122.42,0,view
2015-03-01,37.7877,-122.42,0,view
2015-01-03,37.7877,-122.42,0,view
2015-02-03,37.7603,-122.419,0,view
2014-12-17,37.7603,-122.419,0,view
2015-02-15,37.7603,-122.419,0,view
2015-02-04,37.7603,-122.419,0,view
2014-12-30,37.7603,-122.419,0,view
2015-01-12,37.7603,-122.419,0,view
2015-02-28,37.7604,-122.419,0,view
2015-02-25,37.7604,-122.419,0,view
2015-02-05,37.7604,-122.419,0,view
2015-01-21,37.7604,-122.419,0,view
2015-02-22,37.7604,-122.419,0,view
2015-02-28,37.7604,-122.419,0,view
2015-02-14,37.7604,-122.419,0,view
2015-02-01,37.7604,-122.419,0,view
2015-02-20,37.7604,-122.419,0,view
2015-01-19,37.7604,-122.419,0,view
2014-12-21,37.7604,-122.419,0,view
2015-02-20,37.7604,-122.419,0,view
2015-02-28,37.7839,-122.411,0,view
2015-01-25,37.7749,-122.438,0,view
2015-02-17,37.7749,-122.438,0,view
2014-12-12,37.7749,-122.438,0,view
2015-02-16,37.7749,-122.438,0,view
2014-12-20,37.7839,-122.411,0,view
2015-01-16,37.7839,-122.411,0,view
2014-12-18,37.8046,-122.269,0,view
2015-02-28,37.8046,-122.269,0,view
2015-02-17,37.8046,-122.269,0,view
2015-01-28,37.8046,-122.269,0,view
2015-02-13,37.8046,-122.269,0,view
2015-01-10,37.8046,-122.269,0,view
2015-01-28,37.8046,-122.269,0,view
2015-01-04,37.8046,-122.269,0,view
2015-02-13,37.8046,-122.269,0,view
2015-01-28,37.8046,-122.269,0,view
2015-01-30,37.8046,-122.269,0,view
2015-02-14,37.8046,-122.269,0,view
2015-01-08,37.8046,-122.269,0,view
2014-12-26,37.7839,-122.411,0,view
2014-12-30,37.811,-122.266,0,view
2015-01-22,37.811,-122.266,0,view
2014-12-30,37.811,-122.266,0,view
2015-02-28,37.811,-122.266,0,view
2015-03-01,37.811,-122.266,0,view
2015-01-22,37.811,-122.266,0,view
2015-02-03,37.811,-122.266,0,view
2014-12-02,37.811,-122.266,0,view
2015-02-18,37.811,-122.266,0,view
2014-12-28,37.811,-122.266,0,view
2015-01-14,37.811,-122.266,0,view
2014-12-01,37.811,-122.266,0,view
2015-01-03,37.811,-122.266,0,view
2015-02-20,37.8703,-122.266,0,view
2015-02-01,37.869,-122.29,0,view
2015-02-26,37.869,-122.29,0,view
2015-02-22,37.869,-122.29,0,view
2015-02-09,37.869,-122.29,0,view
2015-01-10,37.869,-122.29,0,view
2015-03-01,37.869,-122.29,0,view
2015-01-23,37.869,-122.29,0,view
2015-02-22,37.869,-122.29,0,view
2015-02-02,37.869,-122.29,0,view
2015-01-12,37.8703,-122.266,0,view
2015-02-25,37.8703,-122.266,0,view
2015-02-10,37.8703,-122.266,0,view
2015-02-08,37.8703,-122.266,0,view
2015-01-24,37.8703,-122.266,0,view
2014-12-09,37.8703,-122.266,0,view
2015-02-06,37.8703,-122.266,0,view
2014-12-31,37.8703,-122.266,0,view
2015-01-07,37.8703,-122.266,0,view
2014-12-10,37.8703,-122.266,0,view
2015-02-11,37.8703,-122.266,0,view
2015-01-27,37.8703,-122.266,0,view
2015-01-28,37.8703,-122.266,0,view
2015-02-07,37.8703,-122.266,0,view
2015-02-07,37.8703,-122.266,0,view
2015-02-15,37.8298,-122.265,0,view
2015-01-13,37.8298,-122.265,0,view
2014-12-31,37.8298,-122.265,0,view
2015-02-07,37.8298,-122.265,0,view
2015-01-20,37.8298,-122.265,0,view
2015-01-22,37.8298,-122.265,0,view
2014-12-13,37.8298,-122.265,0,view
2015-01-02,37.8298,-122.265,0,view
2015-02-28,37.8058,-122.421,0,view
2015-03-01,37.8058,-122.421,0,view
2015-03-01,37.8058,-122.421,0,view
2015-02-25,37.8058,-122.421,0,view
2014-12-19,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2015-02-19,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2015-01-26,37.8058,-122.421,0,view
2015-01-05,37.8058,-122.421,0,view
2015-02-23,37.8058,-122.421,0,view
2015-02-07,37.8058,-122.421,0,view
2015-02-09,37.8058,-122.421,0,view
2014-12-10,37.8058,-122.421,0,view
2015-02-10,37.8058,-122.421,0,view
2015-02-03,37.8058,-122.421,0,view
2015-01-31,37.8058,-122.421,0,view
2014-12-01,37.8058,-122.421,0,view
2015-02-28,37.8058,-122.421,0,view
